total groups,Encoding,Time
2.0,enum,0.1813114643096924
2.0,learn,0.16014761924743653
4.0,enum,0.2780454158782959
4.0,learn,0.1512295722961426
5.0,enum,0.4321556568145752
5.0,learn,0.1782236099243164
8.0,enum,0.505943775177002
8.0,learn,0.15448222160339356
10.0,enum,0.7112300395965576
10.0,learn,0.17826499938964843
20.0,enum,1.2666328430175782
20.0,learn,0.1718522071838379
40.0,enum,2.399311828613281
40.0,learn,0.1720956325531006
